ROW,COL,geom,Northeast,Midwest,South,West
9,6,"POLYGON ((-116.25 37.89475, -116.25 39.78945, -113.75 39.78945, -113.75 37.89475, -116.25 37.89475))",0.0,0.0,0.0,1.0
9,7,"POLYGON ((-113.75 37.89475, -113.75 39.78945, -111.25 39.78945, -111.25 37.89475, -113.75 37.89475))",0.0,0.0,0.0,1.0
9,8,"POLYGON ((-111.25 37.89475, -111.25 39.78945, -108.75 39.78945, -108.75 37.89475, -111.25 37.89475))",0.0,0.0,0.0,1.0
9,9,"POLYGON ((-108.75 37.89475, -108.75 39.78945, -106.25 39.78945, -106.25 37.89475, -108.75 37.89475))",0.0,0.0,0.0,1.0
9,10,"POLYGON ((-106.25 37.89475, -106.25 39.78945, -103.75 39.78945, -103.75 37.89475, -106.25 37.89475))",0.0,0.0,0.0,1.0
9,11,"POLYGON ((-103.75 37.89475, -103.75 39.78945, -101.25 39.78945, -101.25 37.89475, -103.75 37.89475))",0.0,0.4378807853477044,0.0,0.5621192146522955
9,12,"POLYGON ((-101.25 37.89475, -101.25 39.78945, -98.75 39.78945, -98.75 37.89475, -101.25 37.89475))",0.0,1.0,0.0,0.0
9,13,"POLYGON ((-98.75 37.89475, -98.75 39.78945, -96.25 39.78945, -96.25 37.89475, -98.75 37.89475))",0.0,1.0,0.0,0.0
9,14,"POLYGON ((-96.25 37.89475, -96.25 39.78945, -93.75 39.78945, -93.75 37.89475, -96.25 37.89475))",0.0,1.0,0.0,0.0
9,15,"POLYGON ((-93.75 37.89475, -93.75 39.78945, -91.25 39.78945, -91.25 37.89475, -93.75 37.89475))",0.0,1.0,0.0,0.0
9,16,"POLYGON ((-91.25 37.89475, -91.25 39.78945, -88.75 39.78945, -88.75 37.89475, -91.25 37.89475))",0.0,1.0,0.0,0.0
9,17,"POLYGON ((-88.75 37.89475, -88.75 39.78945, -86.25 39.78945, -86.25 37.89475, -88.75 37.89475))",0.0,0.7147547033662872,0.28524529663371284,0.0
9,18,"POLYGON ((-86.25 37.89475, -86.25 39.78945, -83.75 39.78945, -83.75 37.89475, -86.25 37.89475))",0.0,0.6842247514903418,0.3157752485096582,0.0
9,19,"POLYGON ((-83.75 37.89475, -83.75 39.78945, -81.25 39.78945, -81.25 37.89475, -83.75 37.89475))",0.0,0.42646217375524414,0.5735378262447559,0.0
9,20,"POLYGON ((-81.25 37.89475, -81.25 39.78945, -78.75 39.78945, -78.75 37.89475, -81.25 37.89475))",0.28159061151348685,0.27023202916371497,0.4481773593227982,0.0
9,21,"POLYGON ((-78.75 37.89475, -78.75 39.78945, -76.25 39.78945, -76.25 37.89475, -78.75 37.89475))",0.3856548194843076,0.0,0.6143451805156924,0.0
9,22,"POLYGON ((-76.25 37.89475, -76.25 39.78945, -73.75 39.78945, -73.75 37.89475, -76.25 37.89475))",0.5075642623070384,0.0,0.49243573769296156,0.0
10,2,"POLYGON ((-126.25 39.78955, -126.25 41.68425, -123.75 41.68425, -123.75 39.78955, -126.25 39.78955))",0.0,0.0,0.0,1.0
10,3,"POLYGON ((-123.75 39.78955, -123.75 41.68425, -121.25 41.68425, -121.25 39.78955, -123.75 39.78955))",0.0,0.0,0.0,1.0
10,4,"POLYGON ((-121.25 39.78955, -121.25 41.68425, -118.75 41.68425, -118.75 39.78955, -121.25 39.78955))",0.0,0.0,0.0,1.0
10,5,"POLYGON ((-118.75 39.78955, -118.75 41.68425, -116.25 41.68425, -116.25 39.78955, -118.75 39.78955))",0.0,0.0,0.0,1.0
10,6,"POLYGON ((-116.25 39.78955, -116.25 41.68425, -113.75 41.68425, -113.75 39.78955, -116.25 39.78955))",0.0,0.0,0.0,1.0
10,7,"POLYGON ((-113.75 39.78955, -113.75 41.68425, -111.25 41.68425, -111.25 39.78955, -113.75 39.78955))",0.0,0.0,0.0,1.0
10,8,"POLYGON ((-111.25 39.78955, -111.25 41.68425, -108.75 41.68425, -108.75 39.78955, -111.25 39.78955))",0.0,0.0,0.0,1.0
10,9,"POLYGON ((-108.75 39.78955, -108.75 41.68425, -106.25 41.68425, -106.25 39.78955, -108.75 39.78955))",0.0,0.0,0.0,1.0
10,10,"POLYGON ((-106.25 39.78955, -106.25 41.68425, -103.75 41.68425, -103.75 39.78955, -106.25 39.78955))",0.0,0.279716288605537,0.0,0.720283711394463
10,11,"POLYGON ((-103.75 39.78955, -103.75 41.68425, -101.25 41.68425, -101.25 39.78955, -103.75 39.78955))",0.0,0.6122565060507742,0.0,0.38774349394922575
10,12,"POLYGON ((-101.25 39.78955, -101.25 41.68425, -98.75 41.68425, -98.75 39.78955, -101.25 39.78955))",0.0,1.0,0.0,0.0
10,13,"POLYGON ((-98.75 39.78955, -98.75 41.68425, -96.25 41.68425, -96.25 39.78955, -98.75 39.78955))",0.0,1.0,0.0,0.0
10,14,"POLYGON ((-96.25 39.78955, -96.25 41.68425, -93.75 41.68425, -93.75 39.78955, -96.25 39.78955))",0.0,1.0,0.0,0.0
10,15,"POLYGON ((-93.75 39.78955, -93.75 41.68425, -91.25 41.68425, -91.25 39.78955, -93.75 39.78955))",0.0,1.0,0.0,0.0
10,16,"POLYGON ((-91.25 39.78955, -91.25 41.68425, -88.75 41.68425, -88.75 39.78955, -91.25 39.78955))",0.0,1.0,0.0,0.0
10,17,"POLYGON ((-88.75 39.78955, -88.75 41.68425, -86.25 41.68425, -86.25 39.78955, -88.75 39.78955))",0.0,1.0,0.0,0.0
10,18,"POLYGON ((-86.25 39.78955, -86.25 41.68425, -83.75 41.68425, -83.75 39.78955, -86.25 39.78955))",0.0,1.0,0.0,0.0
10,19,"POLYGON ((-83.75 39.78955, -83.75 41.68425, -81.25 41.68425, -81.25 39.78955, -83.75 39.78955))",0.0,1.0,0.0,0.0
10,20,"POLYGON ((-81.25 39.78955, -81.25 41.68425, -78.75 41.68425, -78.75 39.78955, -81.25 39.78955))",0.4077187190997445,0.391272479569432,0.20100880133082355,0.0
10,21,"POLYGON ((-78.75 39.78955, -78.75 41.68425, -76.25 41.68425, -76.25 39.78955, -78.75 39.78955))",1.0,0.0,0.0,0.0
10,22,"POLYGON ((-76.25 39.78955, -76.25 41.68425, -73.75 41.68425, -73.75 39.78955, -76.25 39.78955))",0.9795328515505346,0.0,0.020467148449465476,0.0
10,23,"POLYGON ((-73.75 39.78955, -73.75 41.68425, -71.25 41.68425, -71.25 39.78955, -73.75 39.78955))",1.0,0.0,0.0,0.0
10,24,"POLYGON ((-71.25 39.78955, -71.25 41.68425, -68.75 41.68425, -68.75 39.78955, -71.25 39.78955))",1.0,0.0,0.0,0.0
11,2,"POLYGON ((-126.25 41.68425, -126.25 43.57895, -123.75 43.57895, -123.75 41.68425, -126.25 41.68425))",0.0,0.0,0.0,1.0
11,3,"POLYGON ((-123.75 41.68425, -123.75 43.57895, -121.25 43.57895, -121.25 41.68425, -123.75 41.68425))",0.0,0.0,0.0,1.0
11,4,"POLYGON ((-121.25 41.68425, -121.25 43.57895, -118.75 43.57895, -118.75 41.68425, -121.25 41.68425))",0.0,0.0,0.0,1.0
11,5,"POLYGON ((-118.75 41.68425, -118.75 43.57895, -116.25 43.57895, -116.25 41.68425, -118.75 41.68425))",0.0,0.0,0.0,1.0
11,6,"POLYGON ((-116.25 41.68425, -116.25 43.57895, -113.75 43.57895, -113.75 41.68425, -116.25 41.68425))",0.0,0.0,0.0,1.0
11,7,"POLYGON ((-113.75 41.68425, -113.75 43.57895, -111.25 43.57895, -111.25 41.68425, -113.75 41.68425))",0.0,0.0,0.0,1.0
11,8,"POLYGON ((-111.25 41.68425, -111.25 43.57895, -108.75 43.57895, -108.75 41.68425, -111.25 41.68425))",0.0,0.0,0.0,1.0
11,9,"POLYGON ((-108.75 41.68425, -108.75 43.57895, -106.25 43.57895, -106.25 41.68425, -108.75 41.68425))",0.0,0.0,0.0,1.0
11,10,"POLYGON ((-106.25 41.68425, -106.25 43.57895, -103.75 43.57895, -103.75 41.68425, -106.25 41.68425))",0.0,0.6125896352248679,0.0,0.3874103647751322
11,11,"POLYGON ((-103.75 41.68425, -103.75 43.57895, -101.25 43.57895, -101.25 41.68425, -103.75 41.68425))",0.0,1.0,0.0,0.0
11,12,"POLYGON ((-101.25 41.68425, -101.25 43.57895, -98.75 43.57895, -98.75 41.68425, -101.25 41.68425))",0.0,1.0,0.0,0.0
11,13,"POLYGON ((-98.75 41.68425, -98.75 43.57895, -96.25 43.57895, -96.25 41.68425, -98.75 41.68425))",0.0,1.0,0.0,0.0
11,14,"POLYGON ((-96.25 41.68425, -96.25 43.57895, -93.75 43.57895, -93.75 41.68425, -96.25 41.68425))",0.0,1.0,0.0,0.0
11,15,"POLYGON ((-93.75 41.68425, -93.75 43.57895, -91.25 43.57895, -91.25 41.68425, -93.75 41.68425))",0.0,1.0,0.0,0.0
11,16,"POLYGON ((-91.25 41.68425, -91.25 43.57895, -88.75 43.57895, -88.75 41.68425, -91.25 41.68425))",0.0,1.0,0.0,0.0
11,17,"POLYGON ((-88.75 41.68425, -88.75 43.57895, -86.25 43.57895, -86.25 41.68425, -88.75 41.68425))",0.0,1.0,0.0,0.0
11,18,"POLYGON ((-86.25 41.68425, -86.25 43.57895, -83.75 43.57895, -83.75 41.68425, -86.25 41.68425))",0.0,1.0,0.0,0.0
11,19,"POLYGON ((-83.75 41.68425, -83.75 43.57895, -81.25 43.57895, -81.25 41.68425, -83.75 41.68425))",0.0,1.0,0.0,0.0
11,20,"POLYGON ((-81.25 41.68425, -81.25 43.57895, -78.75 43.57895, -78.75 41.68425, -81.25 41.68425))",0.7021191465978746,0.2978808534021254,0.0,0.0
11,21,"POLYGON ((-78.75 41.68425, -78.75 43.57895, -76.25 43.57895, -76.25 41.68425, -78.75 41.68425))",1.0,0.0,0.0,0.0
11,22,"POLYGON ((-76.25 41.68425, -76.25 43.57895, -73.75 43.57895, -73.75 41.68425, -76.25 41.68425))",1.0,0.0,0.0,0.0
11,23,"POLYGON ((-73.75 41.68425, -73.75 43.57895, -71.25 43.57895, -71.25 41.68425, -73.75 41.68425))",1.0,0.0,0.0,0.0
11,24,"POLYGON ((-71.25 41.68425, -71.25 43.57895, -68.75 43.57895, -68.75 41.68425, -71.25 41.68425))",1.0,0.0,0.0,0.0
12,2,"POLYGON ((-126.25 43.57895, -126.25 45.47365, -123.75 45.47365, -123.75 43.57895, -126.25 43.57895))",0.0,0.0,0.0,1.0
12,3,"POLYGON ((-123.75 43.57895, -123.75 45.47365, -121.25 45.47365, -121.25 43.57895, -123.75 43.57895))",0.0,0.0,0.0,1.0
12,4,"POLYGON ((-121.25 43.57895, -121.25 45.47365, -118.75 45.47365, -118.75 43.57895, -121.25 43.57895))",0.0,0.0,0.0,1.0
12,5,"POLYGON ((-118.75 43.57895, -118.75 45.47365, -116.25 45.47365, -116.25 43.57895, -118.75 43.57895))",0.0,0.0,0.0,1.0
12,6,"POLYGON ((-116.25 43.57895, -116.25 45.47365, -113.75 45.47365, -113.75 43.57895, -116.25 43.57895))",0.0,0.0,0.0,1.0
12,7,"POLYGON ((-113.75 43.57895, -113.75 45.47365, -111.25 45.47365, -111.25 43.57895, -113.75 43.57895))",0.0,0.0,0.0,1.0
12,8,"POLYGON ((-111.25 43.57895, -111.25 45.47365, -108.75 45.47365, -108.75 43.57895, -111.25 43.57895))",0.0,0.0,0.0,1.0
12,9,"POLYGON ((-108.75 43.57895, -108.75 45.47365, -106.25 45.47365, -106.25 43.57895, -108.75 43.57895))",0.0,0.0,0.0,1.0
12,10,"POLYGON ((-106.25 43.57895, -106.25 45.47365, -103.75 45.47365, -103.75 43.57895, -106.25 43.57895))",0.0,0.23243946434592846,0.0,0.7675605356540716
12,11,"POLYGON ((-103.75 43.57895, -103.75 45.47365, -101.25 45.47365, -101.25 43.57895, -103.75 43.57895))",0.0,1.0,0.0,0.0
12,12,"POLYGON ((-101.25 43.57895, -101.25 45.47365, -98.75 45.47365, -98.75 43.57895, -101.25 43.57895))",0.0,1.0,0.0,0.0
12,13,"POLYGON ((-98.75 43.57895, -98.75 45.47365, -96.25 45.47365, -96.25 43.57895, -98.75 43.57895))",0.0,1.0,0.0,0.0
12,14,"POLYGON ((-96.25 43.57895, -96.25 45.47365, -93.75 45.47365, -93.75 43.57895, -96.25 43.57895))",0.0,1.0,0.0,0.0
